,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
2799,0,0,2,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1
2802,0,0,0,0,3,0,2,0,0,5,0,0,4,0,0,0,0,0,1,0
2803,0,0,0,5,0,0,0,0,0,0,1,4,0,0,3,0,0,0,2,0
2804,0,4,0,3,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2805,0,0,4,5,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0
2806,5,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2809,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,4
2810,0,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2811,2,0,5,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
2814,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,2,0,0
2815,0,1,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0
2816,5,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0
2818,0,0,0,0,5,0,0,1,0,0,0,0,4,2,0,0,0,3,0,0
2819,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3
2820,2,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,5,0,0
2821,0,0,2,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,0
2822,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
2826,2,0,5,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0
2828,2,1,0,0,5,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0
2829,3,2,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
2830,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,4,2,0,0
2832,5,0,0,4,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
2833,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0
2835,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3
2836,0,0,1,0,0,0,0,0,0,0,0,4,3,5,2,0,0,0,0,0
2837,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0
2838,0,0,5,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
2839,5,2,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
2841,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2842,5,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2843,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0
2844,0,5,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4
2846,0,0,0,0,0,0,4,0,1,0,0,5,2,0,0,3,0,0,0,0
2847,0,3,0,4,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2848,5,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0
2849,1,0,3,0,0,0,0,2,0,0,0,5,4,0,0,0,0,0,0,0
