                    , A_C10, A_C11, A_C13, A_C14, A_C15, A_C19, A_C17, A_J2, A_J21, A_C12, A_C1, A_C18, A_J26, A_J29, A_J27, A_J28, A_J25, A_J24, A_J23, A_J22, A_J1, B_J20, B_C10, B_C11, B_C13, B_C14, B_C15, B_C19, B_C17, B_J2, B_J21, B_C12, B_C1, B_C18, B_J26, B_J29, B_J27, B_J28, B_J25, B_J24, B_J23, B_J22, B_J1, B_J20
B_5/2/2022 11:48:53 ,     0,     5,     1,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     2,     0,     0,    0,     0,     0,     5,     1,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     2,     0,     0,    0,     0
B_5/2/2022 16:35:16 ,     0,     2,     0,     0,     4,     0,     0,    3,     0,     0,    0,     0,     0,     0,     5,     0,     0,     1,     0,     0,    0,     0,     0,     2,     0,     0,     4,     0,     0,    3,     0,     0,    0,     0,     0,     0,     5,     0,     0,     1,     0,     0,    0,     0
B_5/2/2022 17:42:44 ,     0,     0,     0,     3,     0,     2,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     0,     4,     0,    0,     0,     0,     0,     0,     3,     0,     2,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     0,     4,     0,    0,     0
B_5/2/2022 20:52:36 ,     0,     0,     0,     0,     5,     0,     0,    0,     0,     0,    0,     4,     2,     0,     1,     3,     0,     0,     0,     0,    0,     0,     0,     0,     0,     0,     5,     0,     0,    0,     0,     0,    0,     4,     2,     0,     1,     3,     0,     0,     0,     0,    0,     0
B_5/3/2022 17:03:05 ,     0,     3,     0,     0,     2,     0,     0,    5,     0,     0,    0,     0,     4,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,     3,     0,     0,     2,     0,     0,    5,     0,     0,    0,     0,     4,     0,     0,     0,     0,     1,     0,     0,    0,     0
B_5/3/2022 19:54:11 ,     0,     0,     5,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     3,     0,     2,     0,     4,     0,     0,    0,     0,     0,     0,     5,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     3,     0,     2,     0,     4,     0,     0,    0,     0
B_6/11/2022 23:20:49,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     5,     1,     0,     0,     2,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     5,     1,     0,     0,     2,     0,     0,    0,     0
B_5/4/2022 20:57:36 ,     0,     0,     2,     0,     0,     0,     1,    0,     0,     0,    0,     4,     0,     5,     0,     0,     0,     0,     0,     0,    0,     3,     0,     0,     2,     0,     0,     0,     1,    0,     0,     0,    0,     4,     0,     5,     0,     0,     0,     0,     0,     0,    0,     3
B_5/5/2022 19:37:44 ,     0,     0,     0,     5,     0,     0,     0,    0,     0,     0,    1,     0,     0,     2,     0,     0,     0,     4,     0,     0,    3,     0,     0,     0,     0,     5,     0,     0,     0,    0,     0,     0,    1,     0,     0,     2,     0,     0,     0,     4,     0,     0,    3,     0
B_5/7/2022 17:04:20 ,     0,     4,     0,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     1,     2,     0,     0,     0,     0,     3,    0,     0,     0,     4,     0,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     1,     2,     0,     0,     0,     0,     3,    0,     0
B_5/8/2022 13:10:32 ,     0,     0,     5,     3,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     2,     1,     0,    0,     0,     0,     0,     5,     3,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     2,     1,     0,    0,     0
B_5/28/2022 14:41:57,     0,     3,     4,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     2,     0,     0,     0,     0,     5,    1,     0,     0,     3,     4,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     2,     0,     0,     0,     0,     5,    1,     0
B_5/9/2022 4:14:07  ,     0,     0,     1,     3,     0,     5,     0,    0,     0,     0,    2,     0,     0,     4,     0,     0,     0,     0,     0,     0,    0,     0,     0,     0,     1,     3,     0,     5,     0,    0,     0,     0,    2,     0,     0,     4,     0,     0,     0,     0,     0,     0,    0,     0
B_5/9/2022 15:53:57 ,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,    3,     0,     2,     0,     5,     0,     4,     0,     0,     0,    0,     0,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,    3,     0,     2,     0,     5,     0,     4,     0,     0,     0,    0,     0
B_5/9/2022 16:22:23 ,     0,     4,     0,     0,     1,     0,     0,    0,     0,     0,    2,     0,     0,     0,     5,     3,     0,     0,     0,     0,    0,     0,     0,     4,     0,     0,     1,     0,     0,    0,     0,     0,    2,     0,     0,     0,     5,     3,     0,     0,     0,     0,    0,     0
B_5/9/2022 16:48:43 ,     0,     0,     4,     0,     5,     0,     0,    0,     0,     0,    0,     0,     3,     0,     2,     0,     0,     0,     0,     1,    0,     0,     0,     0,     4,     0,     5,     0,     0,    0,     0,     0,    0,     0,     3,     0,     2,     0,     0,     0,     0,     1,    0,     0
B_5/9/2022 17:09:13 ,     0,     3,     0,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     0,     0,    2,     5,     0,     3,     0,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     0,     0,    2,     5
B_5/9/2022 17:42:39 ,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     5,     0,     0,     0,     2,     0,     0,    0,     3,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     5,     0,     0,     0,     2,     0,     0,    0,     3
B_5/9/2022 18:25:06 ,     5,     0,     4,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     1,     0,    3,     0,     5,     0,     4,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     1,     0,    3,     0
B_5/9/2022 18:28:23 ,     0,     3,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     4,     0,     0,    0,     0,     0,     3,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     4,     0,     0,    0,     0
B_5/9/2022 18:43:51 ,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     3,     1,     0,    4,     0,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     3,     1,     0,    4,     0
B_5/9/2022 21:30:15 ,     0,     2,     3,     0,     0,     4,     0,    0,     0,     0,    5,     0,     0,     0,     0,     0,     0,     0,     0,     1,    0,     0,     0,     2,     3,     0,     0,     4,     0,    0,     0,     0,    5,     0,     0,     0,     0,     0,     0,     0,     0,     1,    0,     0
B_5/9/2022 21:43:13 ,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     3,     5,     2,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     3,     5,     2,    0,     0
B_5/9/2022 22:18:53 ,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     3,     0,     0,     0,     1,     0,    0,     0,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     3,     0,     0,     0,     1,     0,    0,     0
B_5/10/2022 9:38:04 ,     0,     1,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     0,     2,    5,     0,     0,     1,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     0,     2,    5,     0
B_5/10/2022 13:02:04,     0,     3,     0,     0,     0,     0,     4,    5,     0,     0,    2,     0,     0,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     4,    5,     0,     0,    2,     0,     0,     0,     0,     0,     0,     1,     0,     0,    0,     0
B_5/10/2022 13:35:14,     0,     0,     0,     0,     1,     5,     0,    0,     2,     0,    0,     0,     3,     0,     0,     0,     0,     0,     0,     0,    4,     0,     0,     0,     0,     0,     1,     5,     0,    0,     2,     0,    0,     0,     3,     0,     0,     0,     0,     0,     0,     0,    4,     0
B_5/10/2022 17:08:31,     0,     3,     0,     0,     5,     0,     0,    4,     1,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0,     0,     3,     0,     0,     5,     0,     0,    4,     1,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0
B_5/10/2022 18:11:48,     4,     0,     0,     0,     0,     1,     0,    0,     0,     3,    2,     0,     0,     0,     0,     0,     5,     0,     0,     0,    0,     0,     4,     0,     0,     0,     0,     1,     0,    0,     0,     3,    2,     0,     0,     0,     0,     0,     5,     0,     0,     0,    0,     0
B_5/10/2022 18:55:46,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     5,     0,     0,     0,     1,     2,     0,    0,     4,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     5,     0,     0,     0,     1,     2,     0,    0,     4
B_5/10/2022 19:04:26,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     4,     0,     0,     0,     2,     0,     3,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     4,     0,     0,     0,     2,     0,     3,    0,     0
B_5/10/2022 19:40:08,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     2,     0,     0,     0,     0,     0,     1,     3,    0,     0,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     2,     0,     0,     0,     0,     0,     1,     3,    0,     0
B_5/10/2022 19:43:58,     0,     0,     0,     0,     0,     0,     0,    0,     5,     0,    2,     0,     0,     4,     1,     0,     3,     0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     5,     0,    2,     0,     0,     4,     1,     0,     3,     0,     0,     0,    0,     0
B_5/10/2022 20:09:37,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     3,     0,     0,     1,     2,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     3,     0,     0,     1,     2,     0,    0,     0
B_5/10/2022 20:09:46,     5,     4,     0,     3,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     1,     5,     4,     0,     3,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     1
B_5/10/2022 21:06:29,     0,     0,     3,     0,     0,     0,     0,    5,     0,     0,    0,     0,     1,     0,     2,     0,     0,     4,     0,     0,    0,     0,     0,     0,     3,     0,     0,     0,     0,    5,     0,     0,    0,     0,     1,     0,     2,     0,     0,     4,     0,     0,    0,     0
B_5/10/2022 21:13:13,     0,     2,     0,     0,     0,     3,     0,    0,     0,     5,    1,     0,     4,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     3,     0,    0,     0,     5,    1,     0,     4,     0,     0,     0,     0,     0,     0,     0,    0,     0
B_5/10/2022 22:05:12,     0,     4,     0,     0,     0,     0,     0,    2,     5,     0,    0,     0,     0,     0,     3,     0,     0,     1,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     0,    2,     5,     0,    0,     0,     0,     0,     3,     0,     0,     1,     0,     0,    0,     0
B_5/11/2022 16:09:41,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     0,     2,     0,     0,    4,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     0,     2,     0,     0,    4,     0
B_5/11/2022 19:40:20,     0,     0,     0,     4,     0,     0,     0,    0,     1,     0,    2,     0,     0,     0,     0,     0,     0,     5,     0,     0,    0,     3,     0,     0,     0,     4,     0,     0,     0,    0,     1,     0,    2,     0,     0,     0,     0,     0,     0,     5,     0,     0,    0,     3
B_5/11/2022 20:15:43,     0,     3,     0,     0,     0,     0,     0,    2,     0,     0,    0,     0,     0,     0,     0,     0,     5,     0,     1,     4,    0,     0,     0,     3,     0,     0,     0,     0,     0,    2,     0,     0,    0,     0,     0,     0,     0,     0,     5,     0,     1,     4,    0,     0
B_5/11/2022 21:16:11,     4,     0,     0,     0,     0,     0,     0,    0,     0,     0,    2,     0,     0,     1,     0,     0,     0,     3,     0,     0,    0,     5,     4,     0,     0,     0,     0,     0,     0,    0,     0,     0,    2,     0,     0,     1,     0,     0,     0,     3,     0,     0,    0,     5
B_5/11/2022 21:35:11,     0,     4,     0,     5,     0,     0,     0,    0,     0,     0,    3,     0,     0,     1,     0,     0,     0,     0,     0,     0,    0,     2,     0,     4,     0,     5,     0,     0,     0,    0,     0,     0,    3,     0,     0,     1,     0,     0,     0,     0,     0,     0,    0,     2
B_5/12/2022 8:53:19 ,     0,     0,     0,     3,     0,     0,     0,    0,     4,     0,    0,     0,     0,     0,     0,     1,     0,     5,     0,     0,    0,     2,     0,     0,     0,     3,     0,     0,     0,    0,     4,     0,    0,     0,     0,     0,     0,     1,     0,     5,     0,     0,    0,     2
B_5/12/2022 9:30:36 ,     0,     5,     2,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     4,     0,     0,     3,     0,     0,     0,    0,     0,     0,     5,     2,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     4,     0,     0,     3,     0,     0,     0,    0,     0
B_5/12/2022 11:58:02,     0,     0,     0,     0,     1,     0,     3,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     2,     5,    0,     0,     0,     0,     0,     0,     1,     0,     3,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     2,     5,    0,     0
B_5/12/2022 20:22:59,     0,     4,     0,     2,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,     4,     0,     2,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0
B_5/12/2022 21:37:10,     0,     0,     3,     0,     0,     0,     0,    0,     4,     0,    0,     0,     1,     0,     0,     0,     2,     0,     0,     0,    5,     0,     0,     0,     3,     0,     0,     0,     0,    0,     4,     0,    0,     0,     1,     0,     0,     0,     2,     0,     0,     0,    5,     0
B_5/12/2022 22:31:43,     0,     0,     0,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     3,     4,     0,     0,     0,     1,     0,    2,     0,     0,     0,     0,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     3,     4,     0,     0,     0,     1,     0,    2,     0
B_5/13/2022 10:58:53,     0,     0,     0,     0,     0,     1,     0,    0,     0,     4,    3,     0,     0,     0,     0,     0,     0,     0,     2,     0,    0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0,     4,    3,     0,     0,     0,     0,     0,     0,     0,     2,     0,    0,     0
B_5/13/2022 13:00:18,     0,     0,     0,     0,     4,     3,     0,    0,     0,     0,    0,     0,     0,     5,     2,     0,     0,     0,     0,     1,    0,     0,     0,     0,     0,     0,     4,     3,     0,    0,     0,     0,    0,     0,     0,     5,     2,     0,     0,     0,     0,     1,    0,     0
B_5/13/2022 13:18:44,     0,     4,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     3,     0,     0,     0,     5,     0,     0,    0,     0,     0,     4,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     3,     0,     0,     0,     5,     0,     0,    0,     0
B_5/13/2022 17:14:22,     0,     0,     0,     3,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0,     0,     0,     0,     3,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0
B_5/14/2022 11:13:59,     4,     0,     0,     2,     0,     0,     0,    0,     0,     1,    5,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0,     4,     0,     0,     2,     0,     0,     0,    0,     0,     1,    5,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0
B_5/15/2022 12:26:34,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     2,     3,     4,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     2,     3,     4,    0,     0
B_5/15/2022 12:43:05,     0,     4,     0,     0,     0,     0,     0,    0,     3,     0,    1,     0,     0,     2,     0,     0,     5,     0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     3,     0,    1,     0,     0,     2,     0,     0,     5,     0,     0,     0,    0,     0
B_5/15/2022 13:28:23,     0,     1,     0,     0,     0,     0,     0,    3,     0,     0,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    4,     0,     0,     1,     0,     0,     0,     0,     0,    3,     0,     0,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    4,     0
B_5/15/2022 15:58:23,     0,     0,     1,     0,     0,     0,     0,    4,     0,     3,    0,     0,     2,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,     0,     1,     0,     0,     0,     0,    4,     0,     3,    0,     0,     2,     0,     5,     0,     0,     0,     0,     0,    0,     0
B_5/15/2022 16:29:13,     3,     4,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     0,     1,     0,    0,     0,     3,     4,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     0,     1,     0,    0,     0
B_5/15/2022 20:05:27,     0,     1,     0,     0,     0,     0,     0,    3,     0,     4,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,     1,     0,     0,     0,     0,     0,    3,     0,     4,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    0,     0
B_5/15/2022 20:40:25,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     4,     0,     1,     0,     5,     0,     2,     0,    0,     3,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     4,     0,     1,     0,     5,     0,     2,     0,    0,     3
B_5/15/2022 22:22:30,     0,     0,     0,     4,     0,     0,     0,    0,     0,     0,    3,     0,     0,     2,     0,     0,     0,     5,     1,     0,    0,     0,     0,     0,     0,     4,     0,     0,     0,    0,     0,     0,    3,     0,     0,     2,     0,     0,     0,     5,     1,     0,    0,     0
B_5/15/2022 22:32:22,     5,     2,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     1,     0,    0,     0,     5,     2,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     1,     0,    0,     0
B_5/16/2022 9:40:00 ,     0,     0,     0,     0,     0,     1,     0,    0,     0,     5,    3,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0,     5,    3,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0
B_5/16/2022 12:39:20,     0,     0,     0,     0,     3,     0,     5,    0,     0,     0,    4,     0,     0,     2,     0,     0,     0,     3,     0,     0,    0,     1,     0,     0,     0,     0,     3,     0,     5,    0,     0,     0,    4,     0,     0,     2,     0,     0,     0,     3,     0,     0,    0,     1
B_5/16/2022 16:27:01,     0,     4,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     0,     2,     0,     0,     1,     3,     0,    0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     0,     2,     0,     0,     1,     3,     0,    0,     0
B_5/16/2022 16:39:00,     0,     2,     0,     0,     0,     0,     0,    4,     0,     0,    0,     0,     0,     0,     5,     0,     3,     0,     0,     1,    0,     0,     0,     2,     0,     0,     0,     0,     0,    4,     0,     0,    0,     0,     0,     0,     5,     0,     3,     0,     0,     1,    0,     0
B_5/16/2022 17:26:30,     0,     2,     0,     0,     0,     0,     5,    0,     4,     0,    3,     1,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     0,     5,    0,     4,     0,    3,     1,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0
B_5/16/2022 17:29:30,     0,     2,     1,     3,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,     0,    0,     0,     0,     2,     1,     3,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,     0,    0,     0
B_5/17/2022 10:32:45,     0,     2,     4,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     0,     0,     0,    0,     0,     0,     2,     4,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     0,     0,     0,    0,     0
B_5/17/2022 12:44:56,     0,     4,     0,     0,     2,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     1,     0,     0,     0,    0,     0,     0,     4,     0,     0,     2,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     1,     0,     0,     0,    0,     0
B_5/17/2022 14:47:04,     0,     5,     0,     0,     2,     0,     0,    4,     0,     0,    0,     0,     3,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,     5,     0,     0,     2,     0,     0,    4,     0,     0,    0,     0,     3,     0,     0,     0,     0,     1,     0,     0,    0,     0
B_5/17/2022 19:13:45,     4,     0,     3,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     2,     1,    0,     0,     4,     0,     3,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     2,     1,    0,     0
B_5/18/2022 8:27:43 ,     0,     0,     0,     0,     0,     0,     0,    0,     1,     0,    0,     0,     0,     0,     5,     0,     4,     3,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,    0,     1,     0,    0,     0,     0,     0,     5,     0,     4,     3,     0,     0,    2,     0
B_5/18/2022 11:31:27,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     4,     3,     0,     5,     0,     1,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     4,     3,     0,     5,     0,     1,     0,    0,     0
B_5/18/2022 17:29:46,     0,     0,     3,     0,     2,     4,     0,    0,     0,     0,    0,     0,     0,     5,     0,     0,     0,     0,     0,     1,    0,     0,     0,     0,     3,     0,     2,     4,     0,    0,     0,     0,    0,     0,     0,     5,     0,     0,     0,     0,     0,     1,    0,     0
B_5/18/2022 18:03:14,     0,     0,     0,     0,     0,     0,     0,    0,     0,     5,    2,     0,     0,     3,     0,     0,     0,     1,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     5,    2,     0,     0,     3,     0,     0,     0,     1,     0,     0,    4,     0
B_5/19/2022 4:25:17 ,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     2,     0,     0,     0,     0,     0,     5,    0,     4,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     2,     0,     0,     0,     0,     0,     5,    0,     4
B_5/19/2022 19:13:01,     0,     0,     0,     0,     2,     0,     0,    0,     0,     0,    5,     3,     0,     0,     1,     0,     0,     4,     0,     0,    0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0,     0,    5,     3,     0,     0,     1,     0,     0,     4,     0,     0,    0,     0
B_5/20/2022 17:52:35,     0,     5,     2,     0,     0,     0,     0,    0,     3,     0,    0,     0,     0,     0,     4,     0,     1,     0,     0,     0,    0,     0,     0,     5,     2,     0,     0,     0,     0,    0,     3,     0,    0,     0,     0,     0,     4,     0,     1,     0,     0,     0,    0,     0
B_5/20/2022 23:13:23,     0,     5,     0,     0,     0,     4,     0,    0,     0,     0,    1,     0,     2,     0,     0,     0,     0,     3,     0,     0,    0,     0,     0,     5,     0,     0,     0,     4,     0,    0,     0,     0,    1,     0,     2,     0,     0,     0,     0,     3,     0,     0,    0,     0
B_5/21/2022 0:38:05 ,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     5,     0,     0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     5,     0,     0,     0,     0,    0,     0
B_5/22/2022 10:14:47,     0,     2,     0,     1,     3,     0,     0,    5,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     4,     0,    0,     0,     0,     2,     0,     1,     3,     0,     0,    5,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     4,     0,    0,     0
B_5/22/2022 16:40:30,     0,     5,     0,     3,     0,     0,     0,    0,     0,     2,    1,     0,     0,     4,     0,     0,     0,     0,     0,     0,    0,     0,     0,     5,     0,     3,     0,     0,     0,    0,     0,     2,    1,     0,     0,     4,     0,     0,     0,     0,     0,     0,    0,     0
B_5/22/2022 17:25:02,     0,     5,     0,     0,     4,     0,     0,    1,     0,     0,    0,     0,     0,     0,     2,     0,     0,     3,     0,     0,    0,     0,     0,     5,     0,     0,     4,     0,     0,    1,     0,     0,    0,     0,     0,     0,     2,     0,     0,     3,     0,     0,    0,     0
B_5/23/2022 19:08:06,     0,     0,     0,     4,     0,     0,     0,    5,     0,     0,    3,     0,     0,     1,     0,     0,     0,     0,     0,     0,    0,     2,     0,     0,     0,     4,     0,     0,     0,    5,     0,     0,    3,     0,     0,     1,     0,     0,     0,     0,     0,     0,    0,     2
B_5/23/2022 22:39:04,     0,     2,     0,     0,     0,     0,     0,    1,     0,     0,    5,     0,     4,     0,     0,     0,     0,     3,     0,     0,    0,     0,     0,     2,     0,     0,     0,     0,     0,    1,     0,     0,    5,     0,     4,     0,     0,     0,     0,     3,     0,     0,    0,     0
B_5/24/2022 11:04:18,     0,     3,     0,     2,     0,     0,     0,    0,     4,     0,    1,     0,     0,     5,     0,     0,     0,     0,     0,     0,    0,     0,     0,     3,     0,     2,     0,     0,     0,    0,     4,     0,    1,     0,     0,     5,     0,     0,     0,     0,     0,     0,    0,     0
B_5/24/2022 18:10:10,     5,     3,     1,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    4,     0,     5,     3,     1,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    4,     0
B_5/25/2022 13:21:21,     0,     1,     0,     0,     0,     0,     0,    0,     5,     0,    0,     0,     0,     0,     2,     0,     3,     4,     0,     0,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     5,     0,    0,     0,     0,     0,     2,     0,     3,     4,     0,     0,    0,     0
B_5/25/2022 16:47:24,     0,     0,     0,     0,     0,     0,     0,    5,     4,     0,    0,     2,     3,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,    5,     4,     0,    0,     2,     3,     0,     0,     0,     0,     1,     0,     0,    0,     0
B_5/26/2022 8:02:18 ,     0,     2,     0,     0,     0,     0,     0,    0,     0,     3,    0,     0,     1,     5,     0,     0,     0,     0,     0,     4,    0,     0,     0,     2,     0,     0,     0,     0,     0,    0,     0,     3,    0,     0,     1,     5,     0,     0,     0,     0,     0,     4,    0,     0
B_5/26/2022 12:06:56,     2,     0,     0,     1,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     5,     0,    3,     0,     2,     0,     0,     1,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     5,     0,    3,     0
